"year","est","lwr","upr","log_est","se","se_natural","type","index","index_id","common_name"
2011,21014.3285380057,17749.351089369,24879.8957032146,9.95295979537061,0.0861523787236116,16120.7392565718,"index","Oregon",30,"sablefish"
2012,19487.6334782181,16655.6223549076,22801.1809159127,9.87753536277006,0.080119964768437,15203.6287097783,"index","Oregon",30,"sablefish"
2013,21261.3290275691,17539.2200787876,25773.3302842392,9.96464516299801,0.098190765172188,15839.3937992598,"index","Oregon",30,"sablefish"
2014,20992.1551614607,17851.7783818067,24684.9680125954,9.95190408317328,0.0826778823353291,16169.8349685204,"index","Oregon",30,"sablefish"
2015,25950.2300298208,21977.2813589523,30641.3895150094,10.1639357529024,0.0847827924090458,20059.7805169529,"index","Oregon",30,"sablefish"
2016,27856.623324739,23967.5329977606,32376.7766640354,10.2348260384355,0.0767211223779253,21816.8507443489,"index","Oregon",30,"sablefish"
2017,40223.4684651741,31421.6831286988,51490.7940717896,10.6022058969325,0.125998446808691,31914.2096820585,"index","Oregon",30,"sablefish"
2018,30458.3040658178,25886.7038588933,35837.2503360291,10.3241139474801,0.0829756043547063,23537.9803340218,"index","Oregon",30,"sablefish"
2019,29160.0456376129,23547.5165567704,36110.3159026418,10.2805547511973,0.109072979434612,21582.6537031882,"index","Oregon",30,"sablefish"
2021,48793.1346639722,42074.6879349505,56584.3766688729,10.7953448988291,0.0755847035159602,38041.5764093645,"index","Oregon",30,"sablefish"
2022,73822.7668383578,63405.9380272399,85950.9546460657,11.2094224567588,0.0776083959621189,57755.0745901715,"index","Oregon",30,"sablefish"
2023,69534.8000241885,58964.9904871326,81999.3079700233,11.1495826260071,0.0841257605314855,53579.8611976185,"index","Oregon",30,"sablefish"
2024,73128.6649686256,62405.3005998041,85694.6699830539,11.1999757025073,0.0809046530949273,57401.560600984,"index","Oregon",30,"sablefish"
2003,17020.5183047699,13852.6633932833,20912.804645457,9.74217485435288,0.105074409573596,13604.199270393,"index","Washington",30,"sablefish"
2004,17445.1616212364,13429.4715026232,22661.6262547348,9.76681761819455,0.13347729015246,13209.1557904722,"index","Washington",30,"sablefish"
2005,12097.3932464665,9718.67182450127,15058.3254587015,9.40074527419923,0.111706659600961,9233.1407375189,"index","Washington",30,"sablefish"
2006,11451.3807637344,8687.77352611972,15094.0998866709,9.34586559243107,0.140917700636987,8503.85201008542,"index","Washington",30,"sablefish"
2007,9738.64346658277,7703.32971106652,12311.7119643688,9.18385711245883,0.119619120518865,7416.20060076668,"index","Washington",30,"sablefish"
2008,8565.8774145189,6477.21770100471,11328.0515288507,9.05554184737001,0.142602374105686,6408.83807342026,"index","Washington",30,"sablefish"
2009,6434.78627739358,4869.83772960186,8502.63945840304,8.76947390695243,0.142175067521263,4777.50861308949,"index","Washington",30,"sablefish"
2010,9092.33056854796,7209.94298459194,11466.1759939605,9.11518654248879,0.118354327882755,6957.06975154951,"index","Washington",30,"sablefish"
2011,9347.10768236858,7394.62223190986,11815.1298721894,9.14282223564351,0.119550128425827,7183.31429128195,"index","Washington",30,"sablefish"
2012,6940.40711457016,5513.2628515017,8736.97703400009,8.84511571382211,0.117453085718569,5317.56468826016,"index","Washington",30,"sablefish"
2013,7755.78711838179,5899.40493382712,10196.3222562914,8.95619456863952,0.139588178488829,5749.92053941483,"index","Washington",30,"sablefish"
2014,8789.10041830987,6829.59081024833,11310.8220257087,9.08126764395277,0.128700121953324,6634.86450058527,"index","Washington",30,"sablefish"
2015,8883.90604249193,6507.51355257882,12128.1017602412,9.09199660892191,0.158821229319321,6524.80128695461,"index","Washington",30,"sablefish"
2016,9798.22177037909,7422.43292779435,12934.458390594,9.18995619619212,0.141683228937715,7322.76533564775,"index","Washington",30,"sablefish"
2017,11945.7137584844,9234.27715389759,15453.3023886351,9.38812781171976,0.131354553774197,8991.5405028713,"index","Washington",30,"sablefish"
2018,26499.1170327766,20294.621652462,34600.4579706765,10.1848666919013,0.136102248463609,20855.1210844466,"index","Washington",30,"sablefish"
2019,14426.295945139,10782.4751025815,19301.5066315253,9.57680792755852,0.148538702952524,10892.2661125197,"index","Washington",30,"sablefish"
2021,22217.6542848498,17689.7507945243,27904.5288797343,10.0086424898824,0.116278560213275,17029.9429559541,"index","Washington",30,"sablefish"
2022,34510.3265873521,26695.122116271,44613.4929062488,10.4490138796043,0.131011460519745,25728.6368351608,"index","Washington",30,"sablefish"
2023,33797.9835149904,26990.4272960567,42322.5492931137,10.4281564203716,0.114756640742156,26552.1956310567,"index","Washington",30,"sablefish"
2024,31362.2875459391,25261.8081980552,38935.9729280936,10.3533614165087,0.110365517641219,24654.7896518726,"index","Washington",30,"sablefish"
